name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Andover MA,2020-09-27T06:00:00,66.8,66.8,64.1,91.23,0,,,0,0,,0.6,353,1017.6,100,9.9,,,0,,Overcast,cloudy,"KLWM,KBED,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-27T07:00:00,66.9,66.9,64.1,90.68,0,,,0,0,,3,222,1017.4,100,9.9,8,0,0,,Overcast,cloudy,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-27T08:00:00,67,67,64.2,90.72,0,,,0,0,,5.7,203,1017.4,100,9.9,38,0.1,0,,Overcast,cloudy,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-27T09:00:00,69.2,69.2,65,86.5,0,,,0,0,,5.8,180,1017.8,100,9.9,111,0.4,1,,Overcast,cloudy,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-27T10:00:00,71,71,65,81.55,0,,,0,0,,5.2,150,1017.9,100,9.9,164,0.6,2,,Overcast,cloudy,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-27T11:00:00,71.6,71.6,65,79.88,0,,,0,0,,6.8,185,1017.7,95.3,9.8,227,0.8,2,,Overcast,cloudy,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-27T12:00:00,73,73,65.1,76.22,0,,,0,0,,6.9,197,1017.2,93.6,9.9,298,1.1,3,,Overcast,cloudy,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-27T13:00:00,75.1,75.1,65,70.86,0,,,0,0,,7.4,195,1016.6,89.6,9.9,310,1.1,3,,Partially cloudy,partly-cloudy-day,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-27T14:00:00,77,77,65,66.66,0,,,0,0,,5.7,203,1015.9,86.6,9.9,269,1,3,,Partially cloudy,partly-cloudy-day,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-27T15:00:00,77.8,77.8,65,64.84,0,,,0,0,,10.4,201,1015.4,65.1,9.9,231,0.8,2,,Partially cloudy,partly-cloudy-day,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-27T16:00:00,76.7,76.7,65.8,69.3,0,,,0,0,,7.8,149,1015,30.5,9.9,218,0.8,2,,Partially cloudy,partly-cloudy-day,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-27T17:00:00,74.7,74.7,66.7,76.13,0,,,0,0,,1.7,44,1014.6,1.7,9.9,123,0.4,1,,Clear,clear-day,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-27T18:00:00,74.1,74.1,66.7,77.71,0,,,0,0,,4.2,145,1014.6,3.3,9.9,59,0.2,1,,Clear,clear-day,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-27T19:00:00,73.2,73.2,66.9,80.49,0,,,0,0,,1.4,51,1014.9,4.7,9.9,10,0,0,,Clear,clear-night,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-27T20:00:00,73,73,66.8,80.97,0,,,0,0,,4.1,171,1015.4,32.7,9.9,,,0,,Partially cloudy,partly-cloudy-night,"KLWM,KBED,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-27T21:00:00,72.9,72.9,66.8,81.19,0,,,0,0,,5.1,179,1015.8,64.2,9.9,,,0,,Partially cloudy,partly-cloudy-night,"KLWM,KBED,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-27T22:00:00,71.8,71.8,67.8,87.25,0,,,0,0,,3.8,178,1016,83.1,9.9,,,0,,Partially cloudy,partly-cloudy-night,"KLWM,KBED,KBVY,72505914702,74490494723,72508854733"
